ct_growthrate.specie_name,ct_growthrate.trait_name,ct_growthrate.value
Isopora brueggemanni,Growth rate,74.8
Acropora pulchra,Growth rate,16.7
Acropora yongei,Growth rate,69.28
Dipsastraea speciosa,Growth rate,5.6
Goniastrea stelligera,Growth rate,10
Hydnophora rigida,Growth rate,71
Orbicella annularis,Growth rate,7.6
Montipora foliosa,Growth rate,32.5
Montipora undata,Growth rate,26
Pavona cactus,Growth rate,28
Pavona varians,Growth rate,5
Pocillopora verrucosa,Growth rate,29.1
Porites cylindrica,Growth rate,25
Seriatopora hystrix,Growth rate,54.0
Stylophora pistillata,Growth rate,33.5
Turbinaria mesenterina,Growth rate,19.28
Gardineroseris planulata,Growth rate,13.2
Dipsastraea speciosa,Growth rate,4.6
Goniastrea edwardsi,Growth rate,12.5
Goniastrea retiformis,Growth rate,7.8
Porites lutea,Growth rate,13.5
Psammocora haimiana,Growth rate,29
Platygyra daedalea,Growth rate,22
Orbicella annularis,Growth rate,17
Dipsastraea speciosa,Growth rate,7
Dipsastraea speciosa,Growth rate,4.6
Dipsastraea speciosa,Growth rate,6
Dipsastraea speciosa,Growth rate,5
Dipsastraea speciosa,Growth rate,4.5
Dipsastraea speciosa,Growth rate,6
Dipsastraea speciosa,Growth rate,8.5
Dipsastraea speciosa,Growth rate,6.3
Dipsastraea speciosa,Growth rate,7
Dipsastraea speciosa,Growth rate,8
Seriatopora hystrix,Growth rate,38.0
Stylophora pistillata,Growth rate,34.8
Astreopora myriophthalma,Growth rate,10.25
Platygyra lamellina,Growth rate,7.4
Oulophyllia crispa,Growth rate,22
Porites lobata,Growth rate,10
Goniastrea retiformis,Growth rate,7.8
Porites lutea,Growth rate,6.5
Porites lobata,Growth rate,11.5
Porites lutea,Growth rate,11
Porites lutea,Growth rate,5
Porites lutea,Growth rate,5
Goniastrea edwardsi,Growth rate,10
Hydnophora microconos,Growth rate,11.5
Oulophyllia crispa,Growth rate,20
Astreopora myriophthalma,Growth rate,5.25
Goniastrea retiformis,Growth rate,6
Porites lobata,Growth rate,5.5
Psammocora haimiana,Growth rate,30
Herpolitha limax,Growth rate,10
Pocillopora eydouxi,Growth rate,50
Stylophora danae,Growth rate,12.0
Seriatopora caliendrum,Growth rate,58.0
Pocillopora danae,Growth rate,8.2
Acropora speciosa,Growth rate,40.3
Acropora muricata,Growth rate,154.7
Pleuractis granulosa,Growth rate,3.65
Pleuractis granulosa,Growth rate,3.52
Pleuractis granulosa,Growth rate,5.13
Pleuractis granulosa,Growth rate,9.9
Pleuractis granulosa,Growth rate,5.13
Pleuractis granulosa,Growth rate,7.48
Pleuractis granulosa,Growth rate,9.67
Pleuractis granulosa,Growth rate,3.55
Pleuractis granulosa,Growth rate,9.01
Pleuractis granulosa,Growth rate,3.42
Pleuractis granulosa,Growth rate,6.05
Pleuractis granulosa,Growth rate,8.98
Pleuractis granulosa,Growth rate,2.47
Pleuractis granulosa,Growth rate,1.4
Pleuractis granulosa,Growth rate,11.81
Pleuractis granulosa,Growth rate,6.84
Pleuractis granulosa,Growth rate,4.06
Pleuractis granulosa,Growth rate,3.11
Pleuractis granulosa,Growth rate,4.39
Pleuractis granulosa,Growth rate,4.95
Pleuractis granulosa,Growth rate,6.3
Pleuractis granulosa,Growth rate,8.73
Pleuractis granulosa,Growth rate,5.15
Pleuractis granulosa,Growth rate,4.75
Pleuractis granulosa,Growth rate,3.67
Pleuractis granulosa,Growth rate,1.94
Pleuractis granulosa,Growth rate,2.83
Pleuractis granulosa,Growth rate,6.97
Pleuractis granulosa,Growth rate,4.26
Pleuractis granulosa,Growth rate,9.64
Pleuractis granulosa,Growth rate,3.42
Pleuractis granulosa,Growth rate,4.26
Pleuractis granulosa,Growth rate,8.73
Pleuractis granulosa,Growth rate,4.72
Pleuractis granulosa,Growth rate,3.9
Pleuractis granulosa,Growth rate,6.33
Pleuractis granulosa,Growth rate,2.17
Pleuractis granulosa,Growth rate,3.95
Pleuractis granulosa,Growth rate,8.88
Pleuractis granulosa,Growth rate,7.09
Pleuractis granulosa,Growth rate,10.1
Pleuractis granulosa,Growth rate,1.73
Pleuractis granulosa,Growth rate,9.95
Pleuractis granulosa,Growth rate,6.66
Pleuractis granulosa,Growth rate,7.14
Pleuractis granulosa,Growth rate,5.69
Pleuractis granulosa,Growth rate,4.98
Pleuractis granulosa,Growth rate,4.75
Pleuractis granulosa,Growth rate,15.44
Pleuractis granulosa,Growth rate,6.56
Pleuractis granulosa,Growth rate,6.23
Pleuractis granulosa,Growth rate,11.79
Pleuractis granulosa,Growth rate,6.02
Pleuractis granulosa,Growth rate,2.63
Pleuractis granulosa,Growth rate,2.76
Pleuractis granulosa,Growth rate,2.81
Pleuractis granulosa,Growth rate,4.85
Pleuractis granulosa,Growth rate,5.1
Pleuractis granulosa,Growth rate,8.65
Pleuractis granulosa,Growth rate,1.73
Pleuractis granulosa,Growth rate,6.02
Pleuractis granulosa,Growth rate,6.61
Pleuractis granulosa,Growth rate,6.99
Pleuractis granulosa,Growth rate,11.15
Pleuractis granulosa,Growth rate,3.32
Pleuractis granulosa,Growth rate,8.55
Pleuractis granulosa,Growth rate,0.92
Pleuractis granulosa,Growth rate,9.11
Pleuractis granulosa,Growth rate,5.51
Pleuractis granulosa,Growth rate,1.56
Pleuractis granulosa,Growth rate,3.27
Pleuractis granulosa,Growth rate,6.94
Pleuractis granulosa,Growth rate,3.88
Pleuractis granulosa,Growth rate,4.62
Pleuractis granulosa,Growth rate,1.53
Pleuractis granulosa,Growth rate,1.28
Pleuractis granulosa,Growth rate,12.6
Pleuractis granulosa,Growth rate,7.78
Pleuractis granulosa,Growth rate,15
Pleuractis granulosa,Growth rate,8.73
Pleuractis granulosa,Growth rate,5.89
Pleuractis granulosa,Growth rate,8.09
Pleuractis granulosa,Growth rate,8.11
Pleuractis granulosa,Growth rate,10.18
Pleuractis granulosa,Growth rate,2.07
Pleuractis granulosa,Growth rate,5.18
Pleuractis granulosa,Growth rate,4.47
Pleuractis granulosa,Growth rate,1.33
Pleuractis granulosa,Growth rate,6.66
Pleuractis granulosa,Growth rate,3.52
Pleuractis granulosa,Growth rate,7.09
Pleuractis granulosa,Growth rate,7.37
Pleuractis granulosa,Growth rate,2.63
Pleuractis granulosa,Growth rate,2.91
Pleuractis granulosa,Growth rate,5.79
Pleuractis granulosa,Growth rate,1.07
Pleuractis granulosa,Growth rate,0.77
Pleuractis granulosa,Growth rate,6.07
Pleuractis granulosa,Growth rate,3.6
Pleuractis granulosa,Growth rate,3.47
Pleuractis granulosa,Growth rate,1.53
Pleuractis granulosa,Growth rate,12.27
Pleuractis granulosa,Growth rate,11.89
Pleuractis granulosa,Growth rate,2.32
Pleuractis granulosa,Growth rate,7.48
Pleuractis granulosa,Growth rate,8.04
Pleuractis granulosa,Growth rate,11.41
Pleuractis granulosa,Growth rate,8.62
Pleuractis granulosa,Growth rate,7.58
Pleuractis granulosa,Growth rate,2.55
Pleuractis granulosa,Growth rate,6.51
Pleuractis granulosa,Growth rate,5.49
Pleuractis granulosa,Growth rate,1.91
Pleuractis granulosa,Growth rate,13.78
Pleuractis granulosa,Growth rate,7.32
Pleuractis granulosa,Growth rate,3.57
Pleuractis granulosa,Growth rate,13.75
Pleuractis granulosa,Growth rate,3.95
Pleuractis granulosa,Growth rate,4.82
Pleuractis granulosa,Growth rate,6.51
Pleuractis granulosa,Growth rate,1.81
Pleuractis granulosa,Growth rate,1.66
Pleuractis granulosa,Growth rate,1.79
Pleuractis granulosa,Growth rate,6.66
Pleuractis granulosa,Growth rate,2.02
Pleuractis granulosa,Growth rate,1.96
Pleuractis granulosa,Growth rate,4.06
Pleuractis granulosa,Growth rate,5.74
Pleuractis granulosa,Growth rate,2.19
Acropora cervicornis,Growth rate,71
Acropora cervicornis,Growth rate,73
Acropora cervicornis,Growth rate,121
Acropora palmata,Growth rate,58.5
Acropora palmata,Growth rate,55.4
Acropora palmata,Growth rate,82.7
Acropora palmata,Growth rate,47.3
Acropora palmata,Growth rate,99.3
Acropora palmata,Growth rate,65.4
Acropora prolifera,Growth rate,81.8
Acropora prolifera,Growth rate,59.2
Goniastrea edwardsi,Growth rate,6.95
Goniastrea edwardsi,Growth rate,10
Goniastrea retiformis,Growth rate,7.95
Montipora capitata,Growth rate,32.12
Montipora capitata,Growth rate,35.41
Orbicella annularis,Growth rate,11.2
Orbicella annularis,Growth rate,8.2
Orbicella annularis,Growth rate,6.3
Orbicella annularis,Growth rate,8.3
Orbicella annularis,Growth rate,6.6
Orbicella annularis,Growth rate,7
Orbicella annularis,Growth rate,8.9
Pocillopora eydouxi,Growth rate,50
Porites astreoides,Growth rate,3.53
Porites astreoides,Growth rate,3.36
Porites astreoides,Growth rate,3.36
Porites astreoides,Growth rate,3
Porites australiensis,Growth rate,21.1
Porites australiensis,Growth rate,13.4
Porites australiensis,Growth rate,15.4
Porites australiensis,Growth rate,19.5
Porites australiensis,Growth rate,12.9
Porites australiensis,Growth rate,6.7
Porites australiensis,Growth rate,13.4
Porites australiensis,Growth rate,4.9
Porites australiensis,Growth rate,11.8
Porites australiensis,Growth rate,12.9
Porites australiensis,Growth rate,11.8
Porites australiensis,Growth rate,8.7
Porites lobata,Growth rate,9.77
Porites lobata,Growth rate,5.5
Porites lobata,Growth rate,11.7
Porites lobata,Growth rate,22.2
Porites lobata,Growth rate,23.6
Porites lobata,Growth rate,6.7
Porites lobata,Growth rate,2.6
Porites lutea,Growth rate,11.63
Porites lutea,Growth rate,5.58
Porites lutea,Growth rate,3.6
Porites lutea,Growth rate,9.8
Porites lutea,Growth rate,5.1
Porites lutea,Growth rate,21.6
Porites lutea,Growth rate,12.9
Porites lutea,Growth rate,10.3
Porites lutea,Growth rate,10.7
Porites lutea,Growth rate,11.07
Porites lutea,Growth rate,11.445
Porites solida,Growth rate,8.7
Porites solida,Growth rate,15.4
Porites solida,Growth rate,18
Porites solida,Growth rate,18
Porites astreoides,Growth rate,4.622
Porites astreoides,Growth rate,4.85
Porites astreoides,Growth rate,4.912
Porites astreoides,Growth rate,6.487
Porites astreoides,Growth rate,2.528
Porites astreoides,Growth rate,2.197
Porites astreoides,Growth rate,3.047
Porites astreoides,Growth rate,3.565
Porites astreoides,Growth rate,4.539
Porites astreoides,Growth rate,4.021
Porites astreoides,Growth rate,3.876
Porites astreoides,Growth rate,2.28
Porites astreoides,Growth rate,2.425
Porites astreoides,Growth rate,2.528
Porites astreoides,Growth rate,2.694
Porites astreoides,Growth rate,3.067
Porites astreoides,Growth rate,2.321
Porites astreoides,Growth rate,2.425
Porites astreoides,Growth rate,1.907
Porites astreoides,Growth rate,2.591
Porites astreoides,Growth rate,2.383
Orbicella annularis,Growth rate,6.887
Orbicella annularis,Growth rate,7.216
Orbicella annularis,Growth rate,6.969
Orbicella annularis,Growth rate,12.124
Orbicella annularis,Growth rate,8.866
Orbicella annularis,Growth rate,6.144
Orbicella annularis,Growth rate,2.887
Orbicella annularis,Growth rate,7.093
Orbicella annularis,Growth rate,11.175
Orbicella annularis,Growth rate,5.856
Orbicella annularis,Growth rate,7.753
Orbicella annularis,Growth rate,5.32
Orbicella annularis,Growth rate,7.01
Orbicella annularis,Growth rate,1.691
Orbicella annularis,Growth rate,2.763
Orbicella annularis,Growth rate,1.361
Orbicella annularis,Growth rate,1.979
Orbicella annularis,Growth rate,1.567
Orbicella annularis,Growth rate,2.227
Orbicella annularis,Growth rate,1.814
Orbicella annularis,Growth rate,1.814
Orbicella annularis,Growth rate,1.278
Orbicella annularis,Growth rate,2.103
Agaricia agaricites,Growth rate,1.098
Agaricia agaricites,Growth rate,0.933
Agaricia agaricites,Growth rate,1.005
Agaricia agaricites,Growth rate,0.953
Agaricia agaricites,Growth rate,0.788
Agaricia agaricites,Growth rate,1.264
Agaricia agaricites,Growth rate,1.482
Agaricia agaricites,Growth rate,0.788
Agaricia agaricites,Growth rate,1.067
Agaricia agaricites,Growth rate,1.368
Agaricia agaricites,Growth rate,1.109
Agaricia agaricites,Growth rate,1.181
Agaricia agaricites,Growth rate,0.912
Agaricia agaricites,Growth rate,0.922
Agaricia agaricites,Growth rate,1.617
Agaricia agaricites,Growth rate,0.933
Agaricia agaricites,Growth rate,1.627
Agaricia agaricites,Growth rate,0.777
Montastraea cavernosa,Growth rate,10
Montastraea cavernosa,Growth rate,10
Montastraea cavernosa,Growth rate,10
Montastraea cavernosa,Growth rate,10
Montastraea cavernosa,Growth rate,20
Montastraea cavernosa,Growth rate,20
Montastraea cavernosa,Growth rate,20
Montastraea cavernosa,Growth rate,20
Montastraea cavernosa,Growth rate,20
Montastraea cavernosa,Growth rate,30
Montastraea cavernosa,Growth rate,30
Montastraea cavernosa,Growth rate,30
Colpophyllia natans,Growth rate,5
Colpophyllia natans,Growth rate,5
Colpophyllia natans,Growth rate,5
Colpophyllia natans,Growth rate,10
Colpophyllia natans,Growth rate,10
Colpophyllia natans,Growth rate,10
Colpophyllia natans,Growth rate,10
Colpophyllia natans,Growth rate,10
Colpophyllia natans,Growth rate,20
Colpophyllia natans,Growth rate,20
Colpophyllia natans,Growth rate,20
Colpophyllia natans,Growth rate,20
Siderastrea siderea,Growth rate,10
Siderastrea siderea,Growth rate,10
Siderastrea siderea,Growth rate,20
Siderastrea siderea,Growth rate,20
Siderastrea siderea,Growth rate,20
Siderastrea siderea,Growth rate,30
Porites porites,Growth rate,5
Porites porites,Growth rate,5
Porites porites,Growth rate,20
Porites porites,Growth rate,20
Acropora cervicornis,Growth rate,110
Acropora cervicornis,Growth rate,100
Acropora cervicornis,Growth rate,85
Acropora cervicornis,Growth rate,109
Acropora cervicornis,Growth rate,111
Acropora cervicornis,Growth rate,146
Acropora cervicornis,Growth rate,82
Acropora cervicornis,Growth rate,85
Acropora cervicornis,Growth rate,92
Acropora palmata,Growth rate,50
Acropora palmata,Growth rate,90
Acropora palmata,Growth rate,88
Acropora palmata,Growth rate,90
Acropora palmata,Growth rate,60
Acropora palmata,Growth rate,60
Acropora palmata,Growth rate,62
Siderastrea siderea,Growth rate,7.7
Siderastrea siderea,Growth rate,8
Siderastrea siderea,Growth rate,7.5
Siderastrea siderea,Growth rate,7.5
Siderastrea siderea,Growth rate,7.7
Siderastrea siderea,Growth rate,7.5
Siderastrea siderea,Growth rate,7.3
Siderastrea siderea,Growth rate,7
Siderastrea siderea,Growth rate,7.1
Siderastrea siderea,Growth rate,7.2
Siderastrea siderea,Growth rate,7.1
Siderastrea siderea,Growth rate,7.5
Siderastrea siderea,Growth rate,7.6
Siderastrea siderea,Growth rate,7.8
Siderastrea siderea,Growth rate,7.5
Montastraea cavernosa,Growth rate,6.7
Montastraea cavernosa,Growth rate,6.4
Montastraea cavernosa,Growth rate,6.1
Montastraea cavernosa,Growth rate,6.7
Montastraea cavernosa,Growth rate,6
Montastraea cavernosa,Growth rate,6.8
Orbicella annularis,Growth rate,7.7
Orbicella annularis,Growth rate,8.5
Orbicella annularis,Growth rate,7.9
Orbicella annularis,Growth rate,7.9
Orbicella annularis,Growth rate,7.8
Orbicella annularis,Growth rate,7.7
Orbicella annularis,Growth rate,7.5
Orbicella annularis,Growth rate,7.3
Orbicella annularis,Growth rate,7.2
Orbicella annularis,Growth rate,8.9
Orbicella annularis,Growth rate,8.4
Orbicella annularis,Growth rate,8.1
Orbicella annularis,Growth rate,7.9
Orbicella annularis,Growth rate,7.5
Orbicella annularis,Growth rate,7.5
Orbicella franksi,Growth rate,5.2
Orbicella franksi,Growth rate,5.1
Orbicella franksi,Growth rate,5.5
Orbicella franksi,Growth rate,6
Orbicella franksi,Growth rate,6.1
Orbicella franksi,Growth rate,5.9
Porites astreoides,Growth rate,4.4
Porites astreoides,Growth rate,4.5
Porites astreoides,Growth rate,4.1
Porites astreoides,Growth rate,3.5
Porites astreoides,Growth rate,3.4
Porites astreoides,Growth rate,3.2
Porites astreoides,Growth rate,3.8
Porites astreoides,Growth rate,3.6
Porites astreoides,Growth rate,3.3
Porites astreoides,Growth rate,5.4
Porites astreoides,Growth rate,5.6
Porites astreoides,Growth rate,5.1
Porites astreoides,Growth rate,3.8
Porites astreoides,Growth rate,4
Porites astreoides,Growth rate,3.4
Meandrina meandrites,Growth rate,1.2
Meandrina meandrites,Growth rate,1.1
Meandrina meandrites,Growth rate,1
Meandrina meandrites,Growth rate,1.3
Meandrina meandrites,Growth rate,1.1
Meandrina meandrites,Growth rate,1
Meandrina meandrites,Growth rate,1
Meandrina meandrites,Growth rate,1.1
Meandrina meandrites,Growth rate,1
Meandrina meandrites,Growth rate,1.5
Meandrina meandrites,Growth rate,1.6
Meandrina meandrites,Growth rate,1.1
Meandrina meandrites,Growth rate,1.1
Meandrina meandrites,Growth rate,1.1
Meandrina meandrites,Growth rate,1
Colpophyllia natans,Growth rate,6.1
Colpophyllia natans,Growth rate,6.4
Colpophyllia natans,Growth rate,6.1
Colpophyllia natans,Growth rate,6.4
Colpophyllia natans,Growth rate,5.6
Colpophyllia natans,Growth rate,6.1
Colpophyllia natans,Growth rate,6.5
Colpophyllia natans,Growth rate,6.2
Colpophyllia natans,Growth rate,6.3
Colpophyllia natans,Growth rate,7.1
Colpophyllia natans,Growth rate,6.6
Colpophyllia natans,Growth rate,6.5
Colpophyllia natans,Growth rate,6.5
Colpophyllia natans,Growth rate,6.6
Colpophyllia natans,Growth rate,6.1
Diploria labyrinthiformis,Growth rate,4.2
Diploria labyrinthiformis,Growth rate,4.4
Diploria labyrinthiformis,Growth rate,4
Diploria labyrinthiformis,Growth rate,4.2
Diploria labyrinthiformis,Growth rate,4.1
Diploria labyrinthiformis,Growth rate,4.2
Diploria labyrinthiformis,Growth rate,4
Diploria labyrinthiformis,Growth rate,4.3
Diploria labyrinthiformis,Growth rate,4.6
Diploria labyrinthiformis,Growth rate,4.8
Diploria labyrinthiformis,Growth rate,4.7
Diploria labyrinthiformis,Growth rate,4.8
Diploria labyrinthiformis,Growth rate,4.3
Diploria labyrinthiformis,Growth rate,4.1
Diploria labyrinthiformis,Growth rate,4.2
Pocillopora damicornis,Growth rate,52.47
Pocillopora damicornis,Growth rate,34.6
Pocillopora damicornis,Growth rate,49.06
Pocillopora damicornis,Growth rate,38.51
Pocillopora damicornis,Growth rate,58.4
Pocillopora damicornis,Growth rate,56.42
Pocillopora damicornis,Growth rate,52.18
Pocillopora damicornis,Growth rate,30.84
Pocillopora damicornis,Growth rate,40.56
Pocillopora damicornis,Growth rate,25.79
Pocillopora damicornis,Growth rate,45.92
Pocillopora damicornis,Growth rate,47.91
Pavona clavus,Growth rate,21.06
Pavona clavus,Growth rate,14.74
Pavona clavus,Growth rate,12.3
Pavona clavus,Growth rate,7.8
Pavona clavus,Growth rate,16.82
Pavona clavus,Growth rate,19.16
Pavona clavus,Growth rate,16.72
Pavona clavus,Growth rate,10.66
Pavona clavus,Growth rate,11.52
Pavona clavus,Growth rate,4.86
Pavona clavus,Growth rate,14.04
Pavona clavus,Growth rate,15.52
Pavona gigantea,Growth rate,13.78
Pavona gigantea,Growth rate,9.02
Pavona gigantea,Growth rate,9.7
Pavona gigantea,Growth rate,6.42
Pavona gigantea,Growth rate,12.74
Pavona gigantea,Growth rate,13.34
Pavona gigantea,Growth rate,11.78
